Year_Week,year,week,Retail Market,Vegetable,mean_farmer_price
2013-w28,2013,w28,Anuradhapura,BEETROOT,49.0
2013-w29,2013,w29,Anuradhapura,BEETROOT,49.2
2013-w30,2013,w30,Anuradhapura,BEETROOT,33.7
2013-w31,2013,w31,Anuradhapura,BEETROOT,27.7
2013-w32,2013,w32,Anuradhapura,BEETROOT,28.15
2013-w33,2013,w33,Anuradhapura,BEETROOT,28.15
2013-w34,2013,w34,Anuradhapura,BEETROOT,24.4
2013-w35,2013,w35,Anuradhapura,BEETROOT,16.2
2013-w36,2013,w36,Anuradhapura,BEETROOT,16.1
2013-w37,2013,w37,Anuradhapura,BEETROOT,16.2
2013-w38,2013,w38,Anuradhapura,BEETROOT,15.3
2013-w39,2013,w39,Anuradhapura,BEETROOT,17.4
2013-w40,2013,w40,Anuradhapura,BEETROOT,16.9
